Source_File,Column_IFLS,Label,Missing_Percentage,Sample_Values
bus_us.dta,us06_0,INTRO: WEIGHT AND HEIGHT MEASUREMENT,0.00%,[1.0]
bus_us.dta,us04x,Height measured?,0.00%,"[1.0, 3.0, 7.0]"
bus_us.dta,us04,Height (cm),0.58%,"[146.5, 139.4, 156.6]"
bus_us.dta,us04_cd,Reason  height not measured,99.61%,"[3.0, 5.0, 8.0]"
bus_us.dta,us05_0,INTRO: KNEE HEIGHT MEASUREMENT GUIDE,0.19%,[1.0]
bus_us.dta,us05ax,Knee height (>=40 years),0.00%,"[1.0, 6.0, 3.0]"
bus_us.dta,us05a,Knee height,72.50%,"[46.1, 48.0, 52.0]"
bus_us.dta,us05a_cd,Reason not knee height was not measured,99.78%,"[5.0, 2.0, 1.0]"
bus_us.dta,us06a,Waist circumference (cm),72.53%,"[84.3, 71.1, 83.8]"
bus_us.dta,us06b,Hip circumference (cm),72.56%,"[93.1, 83.0, 91.6]"
b2_kr.dta,kr13,What is the main water source for drinking for this household?,0.00%,"[4.0, 3.0, 10.0]"
b2_kr.dta,kr13a,"Before the water is used for drinking, is it boiled?",37.08%,"[1.0, 3.0]"
b2_kr.dta,kr13b,Do you purchase water?,0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr14,Where is the main water source located?,21.96%,"[3.0, 1.0]"
b2_kr.dta,kr16,"Is water used for other necessities, like bathing and laundry, also drawn from t",0.00%,"[1.0, 3.0]"
b2_kr.dta,kr17,What is the main source of water for other necessities like bathing and laundry?,55.11%,"[1.0, 4.0, 6.0]"
b2_kr.dta,kr17b,Do you purchase the water?,55.11%,"[3.0, 1.0, 2.0]"
b2_kr.dta,kr18,Where is the main water source located?,58.63%,"[1.0, 3.0]"
b2_kr.dta,kr20,Where do the majority of householders go to the toilet?,0.00%,"[10.0, 95.0, 2.0]"
b2_kr.dta,kr24b1,"Since 2007, renovated/had major repair done: built new house?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b2,"Since 2007, renovated/had major repair done: built new room?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b3,"Since 2007, renovated/had major repair done: installed new roof?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b4,"Since 2007, renovated/had major repair done: installed new tiles?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b5,"Since 2007, renovated/had major repair done: painted house?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b6,"Since 2007, renovated/had major repair done: new kitchen?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b7,"Since 2007, renovated/had major repair done: plumbing system?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b8,"Since 2007, renovated/had major repair done: drainage/sewage?",0.00%,"[3.0, 2.0, 1.0]"
b2_kr.dta,kr24b9,"Since 2007, renovated/had major repair done: increase wattage?",0.00%,"[3.0, 2.0, 1.0]"
